Network Size [N];New Packets Avr Delay [Pavr];Bufor Size [L];Time to Live [TTL];Routing Type;Delay;Delay Var;Received Packets;Lost Packets;Hops Avr
8;7;4;14;Random routing;9.55;46.65;137;598;5.47;
7;7;4;14;Random routing;9.59;34.2;187;581;6.18;
7;3;4;14;Random routing;11.6;65.97;122;463;5.46;
7;1;4;14;Random routing;13.0;61.41;172;841;5.41;
4;1;4;14;Random routing;11.16;62.09;219;188;5.48;
7;1;4;14;Random routing;12.75;79.25;154;798;5.18;
7;1;8;14;Random routing;23.44;265.64;256;912;5.11;
7;6;8;14;Random routing;8.03;32.52;65;133;4.97;
7;6;8;14;Random routing;8.03;32.52;65;133;4.97;
